street;housenumber;postcode;suburb;city;lon;lat;full
Landsberger Allee; 117; 10407; Prenzlauer Berg; Berlin; 13.4548197; 52.5295748
Landsberger Allee; 171; 10369; ; Berlin; 13.4696536; 52.5318353
Landsberger Allee; 176; 10369; ; Berlin; 13.4702835; 52.5306834
Landsberger Allee; 526; 12681; ; Berlin; 13.5689355; 52.5450136
Landsberger Allee; 193; 10369; ; Berlin; 13.4745206; 52.5333623
Landsberger Allee; 119; 10407; Prenzlauer Berg; Berlin; 13.4580370; 52.5294640
Landsberger Allee; 77; 10249; ; Berlin; 13.4467771; 52.5263920
Landsberger Allee; 117a; 10407; Prenzlauer Berg; Berlin; 13.4560471; 52.5287946
Landsberger Allee; 207; 13055; Alt-Hohenschönhausen; Berlin; 13.4782480; 52.5345460
Landsberger Allee; 44; 10249; Friedrichshain; Berlin; 13.4398802; 52.5238656
Landsberger Allee; ; ; ; Berlin; 13.4446616; 52.5251277
Landsberger Allee; 68D; 10249; Friedrichshain; Berlin; 13.4470358; 52.5257912
Landsberger Allee; 99; 10407; ; Berlin; 13.4514271; 52.5277371
Landsberger Allee; 101; 10407; Prenzlauer Berg; Berlin; 13.4517323; 52.5278248
Landsberger Allee; 561; 12679; Marzahn; Berlin; 13.5772349; 52.5488606
Landsberger Allee; 555; 12679; Marzahn; Berlin; 13.5769774; 52.5481821
Landsberger Allee; 535; 12679; Marzahn; Berlin; 13.5738274; 52.5474671
Landsberger Allee; 537; 12679; Marzahn; Berlin; 13.5742480; 52.5474149
Landsberger Allee; 539; 12679; Marzahn; Berlin; 13.5739219; 52.5480986
Landsberger Allee; 543; 12679; Marzahn; Berlin; 13.5747115; 52.5476758
Landsberger Allee; 547; 12679; Marzahn; Berlin; 13.5754926; 52.5478794
Landsberger Allee; 549; 12679; Marzahn; Berlin; 13.5758359; 52.5478533
Landsberger Allee; 551; 12679; Marzahn; Berlin; 13.5763594; 52.5480777
Landsberger Allee; 553; 12679; Marzahn; Berlin; 13.5766341; 52.5480464
Landsberger Allee; 545; 12679; Marzahn; Berlin; 13.5750291; 52.5476393
Landsberger Allee; 34; 10249; Friedrichshain; Berlin; 13.4388385; 52.5234507
Landsberger Allee; 40; 10249; Friedrichshain; Berlin; 13.4394225; 52.5236193
Landsberger Allee; 53; 10249; Friedrichshain; Berlin; 13.4427684; 52.5250945
Landsberger Allee; 565; 12679; Marzahn; Berlin; 13.5822821; 52.5495158
Landsberger Allee; 559; 12679; Marzahn; Berlin; 13.5771552; 52.5486450
Landsberger Allee; 557; 12679; Marzahn; Berlin; 13.5770607; 52.5484049
Landsberger Allee; 563; 12679; Marzahn; Berlin; 13.5783966; 52.5481481
Landsberger Allee; 218; 10367; Fennpfuhl; Berlin; 13.4819061; 52.5327812
Landsberger Allee; 228a; 10367; Fennpfuhl; Berlin; 13.4825626; 52.5329135
Landsberger Allee; 228b; 10367; Fennpfuhl; Berlin; 13.4828287; 52.5329246
Landsberger Allee; 228c; 10367; Fennpfuhl; Berlin; 13.4838358; 52.5328790
Landsberger Allee; 228d; 10367; Fennpfuhl; Berlin; 13.4841137; 52.5328949
Landsberger Allee; 186; 10369; Fennpfuhl; Berlin; 13.4751907; 52.5322945
Landsberger Allee; 184; 10369; Fennpfuhl; Berlin; 13.4750988; 52.5319889
Landsberger Allee; 182; 10369; Fennpfuhl; Berlin; 13.4750241; 52.5316978
Landsberger Allee; 26-32; 10249; Friedrichshain; Berlin; 13.4370274; 52.5232898
Landsberger Allee; 133; 10369; Fennpfuhl; Berlin; 13.4624113; 52.5309913
Landsberger Allee; 139; 10369; Fennpfuhl; Berlin; 13.4632694; 52.5307465
Landsberger Allee; 141; 10369; Fennpfuhl; Berlin; 13.4635943; 52.5307282
Landsberger Allee; 151; 10369; Fennpfuhl; Berlin; 13.4651172; 52.5310617
Landsberger Allee; 153; 10369; Fennpfuhl; Berlin; 13.4659093; 52.5312389
Landsberger Allee; 169; 10369; Fennpfuhl; Berlin; 13.4683258; 52.5317762
Landsberger Allee; 146; 10369; Fennpfuhl; Berlin; 13.4659051; 52.5299623
Landsberger Allee; 152; 10369; Fennpfuhl; Berlin; 13.4662505; 52.5294192
Landsberger Allee; 54; 10249; Friedrichshain; Berlin; 13.4432879; 52.5248985
Landsberger Allee; 52; 10249; Friedrichshain; Berlin; 13.4427652; 52.5246916
Landsberger Allee; 255; 13055; Alt-Hohenschönhausen; Berlin; 13.4923417; 52.5351354
Landsberger Allee; 257; 13055; Alt-Hohenschönhausen; Berlin; 13.4926534; 52.5351490
Landsberger Allee; 259; 13055; Alt-Hohenschönhausen; Berlin; 13.4930094; 52.5351687
Landsberger Allee; 261; 13055; Alt-Hohenschönhausen; Berlin; 13.4933579; 52.5351853
Landsberger Allee; 263; 13055; Alt-Hohenschönhausen; Berlin; 13.4937088; 52.5352094
Landsberger Allee; 265; 13055; Alt-Hohenschönhausen; Berlin; 13.4940574; 52.5352320
Landsberger Allee; 267; 13055; Alt-Hohenschönhausen; Berlin; 13.4944965; 52.5352531
Landsberger Allee; 230; 10367; Lichtenberg; Berlin; 13.4864102; 52.5334039
Landsberger Allee; 230; 10367; Lichtenberg; Berlin; 13.4878513; 52.5330866
Landsberger Allee; 358; 10365; Lichtenberg; Berlin; 13.5034741; 52.5340541
Landsberger Allee; 2; 10249; Friedrichshain; Berlin; 13.4344408; 52.5229589
Landsberger Allee; 366; 12681; Marzahn; Berlin; 13.5189236; 52.5346627
Landsberger Straße; 207; 12623; Mahlsdorf; Berlin; 13.6232605; 52.5096725
Landsberger Straße; 15b; 12623; Mahlsdorf; Berlin; 13.6220053; 52.5084645
Landsberger Straße; 209; 12623; Mahlsdorf; Berlin; 13.6230245; 52.5091240
Landsberger Straße; 17; 12623; Mahlsdorf; Berlin; 13.6224559; 52.5091305
Landsberger Straße; 16; 12623; Mahlsdorf; Berlin; 13.6223379; 52.5088954
Landsberger Straße; 210; 12623; Mahlsdorf; Berlin; 13.6228850; 52.5088889
Landsberger Straße; 212; 12623; Mahlsdorf; Berlin; 13.6226812; 52.5085494
Landsberger Straße; 19A; 12623; Mahlsdorf; Berlin; 13.6226919; 52.5095811
Landsberger Straße; 19; 12623; Mahlsdorf; Berlin; 13.6226383; 52.5094113
Landsberger Straße; 196A; 12623; Mahlsdorf; Berlin; 13.6255377; 52.5126526
Landsberger Straße; 198; 12623; Mahlsdorf; Berlin; 13.6250013; 52.5121564
Landsberger Straße; 21; 12623; Mahlsdorf; Berlin; 13.6231130; 52.5103085
Landsberger Straße; 22; 12623; Mahlsdorf; Berlin; 13.6230057; 52.5104913
Landsberger Straße; 20; 12623; Mahlsdorf; Berlin; 13.6229414; 52.5101453
Landsberger Straße; 206; 12623; Mahlsdorf; Berlin; 13.6233812; 52.5099167
Landsberger Straße; 203; 12623; Mahlsdorf; Berlin; 13.6239606; 52.5107917
Landsberger Straße; 24; 12623; Mahlsdorf; Berlin; 13.6233383; 52.5108374
Landsberger Straße; 204; 12623; Mahlsdorf; Berlin; 13.6237568; 52.5104848
Landsberger Straße; 23; 12623; Mahlsdorf; Berlin; 13.6232310; 52.5105958
Landsberger Straße; 36; 12623; Mahlsdorf; Berlin; 13.6235851; 52.5101844
Landsberger Straße; 28; 12623; Mahlsdorf; Berlin; 13.6236602; 52.5114642
Landsberger Straße; 27; 12623; Mahlsdorf; Berlin; 13.6234993; 52.5113141
Landsberger Straße; 26; 12623; Mahlsdorf; Berlin; 13.6233383; 52.5111769
Landsberger Straße; 202; 12623; Mahlsdorf; Berlin; 13.6240679; 52.5109615
Landsberger Straße; 25; 12623; Mahlsdorf; Berlin; 13.6234242; 52.5109876
Landsberger Straße; 29; 12623; Mahlsdorf; Berlin; 13.6237782; 52.5116536
Landsberger Straße; 199; 12623; Mahlsdorf; Berlin; 13.6242932; 52.5114642
Landsberger Allee; 227; 13055; Alt-Hohenschönhausen; Berlin; 13.4867371; 52.5351089
Landsberger Allee; 229; 13055; Alt-Hohenschönhausen; Berlin; 13.4871171; 52.5351334
Landsberger Allee; 233; 13055; Alt-Hohenschönhausen; Berlin; 13.4878769; 52.5351823
Landsberger Allee; 235; 13055; Alt-Hohenschönhausen; Berlin; 13.4882568; 52.5352067
Landsberger Allee; 231; 13055; Alt-Hohenschönhausen; Berlin; 13.4874970; 52.5351578
Landsberger Allee; 239; 13055; Alt-Hohenschönhausen; Berlin; 13.4884316; 52.5348024
Landsberger Allee; 237; 13055; Alt-Hohenschönhausen; Berlin; 13.4884062; 52.5350053
Landsberger Allee; 277; 13055; ; Berlin; 13.4958224; 52.5352124
Landsberger Allee; 277; 13055; ; Berlin; 13.4964916; 52.5348915
Landsberger Allee; 277; 13055; Alt-Hohenschönhausen; Berlin; 13.4963847; 52.5347555
Landsberger Allee; 277; 13055; ; Berlin; 13.4962633; 52.5346344
Landsberger Allee; 277; 13055; ; Berlin; 13.4967004; 52.5349653
Landsberger Allee; 277; 13055; Alt-Hohenschönhausen; Berlin; 13.4961613; 52.5350746
Landsberger Allee; 277; 13055; Alt-Hohenschönhausen; Berlin; 13.4964333; 52.5348265
Landsberger Allee; 277; 13055; ; Berlin; 13.4961661; 52.5345605
Landsberger Allee; 277; 13055; ; Berlin; 13.4964374; 52.5358183
Landsberger Allee; 277; 13055; ; Berlin; 13.4965094; 52.5353707
Landsberger Allee; 277; 13055; Alt-Hohenschönhausen; Berlin; 13.4960855; 52.5352661
Landsberger Allee; 277; 13055; ; Berlin; 13.4962095; 52.5358061
Landsberger Allee; 277; 13055; ; Berlin; 13.4965334; 52.5351931
Landsberger Allee; 277; 13055; ; Berlin; 13.4962575; 52.5355118
Landsberger Allee; 277; 13055; ; Berlin; 13.4965494; 52.5351396
Landsberger Allee; 277; 13055; ; Berlin; 13.4962375; 52.5356675
Landsberger Allee; 219b; 13055; Alt-Hohenschönhausen; Berlin; 13.4866578; 52.5346788
Landsberger Allee; 217f; 13055; Alt-Hohenschönhausen; Berlin; 13.4875873; 52.5341751
Landsberger Allee; 219; 13055; Alt-Hohenschönhausen; Berlin; 13.4861521; 52.5342709
Landsberger Allee; 217h; 13055; Alt-Hohenschönhausen; Berlin; 13.4879823; 52.5341990
Landsberger Allee; 217b; 13055; Alt-Hohenschönhausen; Berlin; 13.4867973; 52.5341275
Landsberger Allee; 219c; 13055; Alt-Hohenschönhausen; Berlin; 13.4872092; 52.5347099
Landsberger Allee; 217d; 13055; Alt-Hohenschönhausen; Berlin; 13.4871923; 52.5341513
Landsberger Allee; 217i; 13055; Alt-Hohenschönhausen; Berlin; 13.4881798; 52.5342109
Landsberger Allee; 219a; 13055; Alt-Hohenschönhausen; Berlin; 13.4861243; 52.5344312
Landsberger Allee; 217; 13055; Alt-Hohenschönhausen; Berlin; 13.4864023; 52.5341036
Landsberger Allee; 217e; 13055; Alt-Hohenschönhausen; Berlin; 13.4873898; 52.5341632
Landsberger Allee; 217g; 13055; Alt-Hohenschönhausen; Berlin; 13.4877848; 52.5341871
Landsberger Allee; 225a; 13055; Alt-Hohenschönhausen; Berlin; 13.4873761; 52.5356071
Landsberger Allee; 217a; 13055; Alt-Hohenschönhausen; Berlin; 13.4865998; 52.5341155
Landsberger Allee; 217k; 13055; Alt-Hohenschönhausen; Berlin; 13.4882032; 52.5343777
Landsberger Allee; 219d; 13055; Alt-Hohenschönhausen; Berlin; 13.4877824; 52.5347454
Landsberger Allee; 217c; 13055; Alt-Hohenschönhausen; Berlin; 13.4869948; 52.5341394
Landsberger Allee; 253; 13055; Alt-Hohenschönhausen; Berlin; 13.4910625; 52.5347260
Landsberger Allee; 241; 13055; Alt-Hohenschönhausen; Berlin; 13.4888606; 52.5346268
Landsberger Allee; 249; 13055; Alt-Hohenschönhausen; Berlin; 13.4902635; 52.5347174
Landsberger Allee; 245; 13055; Alt-Hohenschönhausen; Berlin; 13.4895662; 52.5346724
Landsberger Allee; 251; 13055; Alt-Hohenschönhausen; Berlin; 13.4907141; 52.5347060
Landsberger Allee; 247; 13055; Alt-Hohenschönhausen; Berlin; 13.4899379; 52.5346964
Landsberger Allee; 243; 13055; Alt-Hohenschönhausen; Berlin; 13.4892242; 52.5346503
Landsberger Allee; 225; 13055; Alt-Hohenschönhausen; Berlin; 13.4858217; 52.5357308
Landsberger Allee; 221; 13055; Alt-Hohenschönhausen; Berlin; 13.4857554; 52.5347523
Landsberger Allee; 223; 13055; Alt-Hohenschönhausen; Berlin; 13.4855684; 52.5350990
Landsberger Allee; 281; 13055; Alt-Hohenschönhausen; Berlin; 13.4981097; 52.5348425
Landsberger Allee; 287; 13055; Alt-Hohenschönhausen; Berlin; 13.4987043; 52.5348767
Landsberger Allee; 279; 13055; Alt-Hohenschönhausen; Berlin; 13.4979115; 52.5348311
Landsberger Allee; 285; 13055; Alt-Hohenschönhausen; Berlin; 13.4985061; 52.5348653
Landsberger Allee; 289; 13055; Alt-Hohenschönhausen; Berlin; 13.4989025; 52.5348881
Landsberger Allee; 283; 13055; Alt-Hohenschönhausen; Berlin; 13.4983079; 52.5348539
Landsberger Straße; 224; 12623; Mahlsdorf; Berlin; 13.6248575; 52.5062602
Landsberger Allee; 93; 10407; Prenzlauer Berg; Berlin; 13.4500997; 52.5272875
Landsberger Allee; 91; 10407; Prenzlauer Berg; Berlin; 13.4498684; 52.5272190
Landsberger Allee; 95; 10407; Prenzlauer Berg; Berlin; 13.4502432; 52.5273310
Landsberger Allee; 89; 10407; Prenzlauer Berg; Berlin; 13.4496278; 52.5271500
Landsberger Allee; 85; 10407; Prenzlauer Berg; Berlin; 13.4489725; 52.5272218
Landsberger Allee; 79; 10407; Prenzlauer Berg; Berlin; 13.4481564; 52.5269988
Landsberger Allee; 295; 13055; Alt-Hohenschönhausen; Berlin; 13.5014755; 52.5352805
Landsberger Allee; 291; 13055; Alt-Hohenschönhausen; Berlin; 13.5007593; 52.5352336
Landsberger Allee; 303; 13055; Alt-Hohenschönhausen; Berlin; 13.5028892; 52.5353729
Landsberger Allee; 299; 13055; Alt-Hohenschönhausen; Berlin; 13.5021727; 52.5353261
Landsberger Allee; 297; 13055; Alt-Hohenschönhausen; Berlin; 13.5018341; 52.5353039
Landsberger Allee; 307; 13055; Alt-Hohenschönhausen; Berlin; 13.5036864; 52.5353371
Landsberger Allee; 305; 13055; Alt-Hohenschönhausen; Berlin; 13.5033323; 52.5353163
Landsberger Allee; 293; 13055; Alt-Hohenschönhausen; Berlin; 13.5011097; 52.5352566
Landsberger Allee; 301; 13055; Alt-Hohenschönhausen; Berlin; 13.5025456; 52.5353504
Landsberger Allee; 309; 13055; Alt-Hohenschönhausen; Berlin; 13.5040333; 52.5353576
Landsberger Allee; 216; 10367; Fennpfuhl; Berlin; 13.4814835; 52.5329040
Landsberger Allee; 218; 10367; Fennpfuhl; Berlin; 13.4818377; 52.5327810
Landsberger Allee; 224; 10367; Fennpfuhl; Berlin; 13.4825457; 52.5320217
Landsberger Allee; 222; 10367; Fennpfuhl; Berlin; 13.4824103; 52.5323085
Landsberger Allee; 226; 10367; Fennpfuhl; Berlin; 13.4825865; 52.5317699
Landsberger Allee; 220; 10367; Fennpfuhl; Berlin; 13.4822394; 52.5325386
Landsberger Allee; 206; 10367; Fennpfuhl; Berlin; 13.4792988; 52.5328404
Landsberger Allee; 214; 10367; Fennpfuhl; Berlin; 13.4809315; 52.5329569
Landsberger Allee; 200; 10367; Fennpfuhl; Berlin; 13.4780847; 52.5327488
Landsberger Allee; 204; 10367; Fennpfuhl; Berlin; 13.4788999; 52.5328190
Landsberger Allee; 208; 10367; Fennpfuhl; Berlin; 13.4796962; 52.5328638
Landsberger Allee; 210; 10367; Fennpfuhl; Berlin; 13.4800974; 52.5328872
Landsberger Allee; 202; 10367; Fennpfuhl; Berlin; 13.4784709; 52.5327696
Landsberger Allee; 212; 10367; Fennpfuhl; Berlin; 13.4805090; 52.5329321
Landsberger Allee; 44; 10249; ; Berlin; 13.4398917; 52.5237553
Landsberger Chaussee; 17; 16356; ; Berlin; 13.5956857; 52.5490604
Landsberger Allee; 100; 10249; Friedrichshain; Berlin; 13.4518569; 52.5271191
Landsberger Allee; 102; 10249; Friedrichshain; Berlin; 13.4521682; 52.5272020
Landsberger Allee; 96; 10249; Friedrichshain; Berlin; 13.4512856; 52.5269670
Landsberger Allee; 98; 10249; Friedrichshain; Berlin; 13.4515939; 52.5270490
Landsberger Straße; 217; 12623; Mahlsdorf; Berlin; 13.6219697; 52.5068652
Landsberger Straße; 218; 12623; Mahlsdorf; Berlin; 13.6217921; 52.5064600
Landsberger Straße; 246; 12623; Mahlsdorf; Berlin; 13.6215893; 52.5060857
Landsberger Straße; 247; 12623; Mahlsdorf; Berlin; 13.6214244; 52.5057075
Landsberger Straße; 248; 12623; Mahlsdorf; Berlin; 13.6212342; 52.5053294
Landsberger Straße; 250; 12623; Mahlsdorf; Berlin; 13.6231551; 52.5049894
Landsberger Allee; 117; 10407; Prenzlauer Berg; Berlin; 13.4559851; 52.5288772
Landsberger Allee; 104 B; 10249; Prenzlauer Berg; Berlin; 13.4536729; 52.5276514
Landsberger Allee; 104 D; 10249; Prenzlauer Berg; Berlin; 13.4549443; 52.5279450
Landsberger Allee; 104 C; 10249; Prenzlauer Berg; Berlin; 13.4542791; 52.5277820
Landsberger Allee; 104 A; 10249; Prenzlauer Berg; Berlin; 13.4527037; 52.5273914
Landsberger Allee; 106; ; ; Berlin; 13.4572195; 52.5281618
Landsberger Chaussee; 17; 16356; ; Berlin; 13.6017934; 52.5478955
Landsberger Chaussee; 17; 16356; ; Berlin; 13.6009295; 52.5485479
Landsberger Allee; 179; 10369; ; Berlin; 13.4716831; 52.5325540
Landsberger Allee; 179A; 10369; ; Berlin; 13.4718729; 52.5325994
Landsberger Allee; 181; 10369; ; Berlin; 13.4720416; 52.5326370
Landsberger Allee; 181A; 10369; ; Berlin; 13.4722175; 52.5326761
Landsberger Allee; 183; 10369; ; Berlin; 13.4724303; 52.5327019
Landsberger Allee; 183A; 10369; ; Berlin; 13.4725820; 52.5327351
Landsberger Allee; 183B; 10369; ; Berlin; 13.4727935; 52.5327814
Landsberger Allee; 185; 10369; ; Berlin; 13.4729740; 52.5328209
Landsberger Allee; 185A; 10369; ; Berlin; 13.4731591; 52.5328614
Landsberger Allee; 187; 10369; ; Berlin; 13.4733642; 52.5329063
Landsberger Allee; 187A; 10369; ; Berlin; 13.4735445; 52.5329458
Landsberger Allee; 189; 10369; ; Berlin; 13.4737414; 52.5329888
Landsberger Allee; 189A; 10369; ; Berlin; 13.4739038; 52.5330244
Landsberger Allee; 191; 10369; ; Berlin; 13.4741319; 52.5331080
Landsberger Allee; 191A; 10369; ; Berlin; 13.4742863; 52.5331820
Landsberger Allee; 193; 10369; ; Berlin; 13.4744431; 52.5332572
Landsberger Allee; 193A; 10369; ; Berlin; 13.4745803; 52.5333230
Landsberger Allee; 155; 10369; Fennpfuhl; Berlin; 13.4662073; 52.5313052
Landsberger Allee; 157; 10369; Fennpfuhl; Berlin; 13.4665356; 52.5313782
Landsberger Allee; 159; 10369; Fennpfuhl; Berlin; 13.4668015; 52.5314373
Landsberger Allee; 161; 10369; Fennpfuhl; Berlin; 13.4671077; 52.5315054
Landsberger Allee; 163; 10369; Fennpfuhl; Berlin; 13.4674203; 52.5315749
Landsberger Allee; 165; 10369; Fennpfuhl; Berlin; 13.4676928; 52.5316355
Landsberger Allee; 167; 10369; Fennpfuhl; Berlin; 13.4680072; 52.5317054
Landsberger Allee; 148; 10369; Fennpfuhl; Berlin; 13.4660342; 52.5297773
Landsberger Allee; 150; 10369; Fennpfuhl; Berlin; 13.4661317; 52.5296096
Landsberger Allee; 77; 10249; ; Berlin; 13.4461713; 52.5268551
Landsberger Allee; 201; 13055; ; Berlin; 13.4769740; 52.5333519
Landsberger Allee; 203; 13055; ; Berlin; 13.4776105; 52.5333986
Landsberger Allee; 205; 13055; ; Berlin; 13.4781338; 52.5334387
